,Alpha,CMA,HML,Mkt-RF,RMW,SMB,STR,WML,Weight,fund,model,Name
20,0.001235077668975158,0.3043042013912555,-0.4244889782326879,0.6297182031636647,0.14814309956239152,1.0062655498528912,0.3962343730168887,0.06232708011946478,0.012726,BRAGX,full,SEAWORLD ENTERTAINMENT INC ORD
20,0.0013377700218508365,,-0.3455389722075953,0.6512787284809614,,1.0234337873044692,,,0.012726,BRAGX,ff3,SEAWORLD ENTERTAINMENT INC ORD
20,0.0013205655162087848,0.18907506527331835,-0.4087783780878117,0.6807484345345124,0.10377153826896819,1.0296928913312993,,,0.012726,BRAGX,ff5,SEAWORLD ENTERTAINMENT INC ORD
20,0.0013393998464935912,,-0.3546104383059582,0.6513522959621969,,1.019132054466437,,-0.015129471165036094,0.012726,BRAGX,carhart,SEAWORLD ENTERTAINMENT INC ORD
20,0.0012435079130104572,,,0.7581171103324854,,,,,0.012726,BRAGX,capm,SEAWORLD ENTERTAINMENT INC ORD
21,0.0006165105373276741,0.137211281348178,0.6024018949093551,0.8009298268794253,0.07769129684081438,-0.18835718048356065,-0.12367128243180316,0.16067766390175886,0.012624,BRAGX,full,AFLAC INC ORD
21,0.0006247022210918627,,0.5475097381363948,0.7591358030286836,,-0.2523001185903627,,,0.012624,BRAGX,ff3,AFLAC INC ORD
21,0.000613957407443469,0.13026761431832234,0.5035776644375084,0.7784826498925344,0.058031061444114004,-0.24921006374648405,,,0.012624,BRAGX,ff5,AFLAC INC ORD
21,0.0006071694519088044,,0.645095648357228,0.7583444039823538,,-0.20602441078586686,,0.16275464172944876,0.012624,BRAGX,carhart,AFLAC INC ORD
21,0.000496370294697764,,,0.6469324090293287,,,,,0.012624,BRAGX,capm,AFLAC INC ORD
22,0.00014011593831117462,-0.4346418705184071,1.068770458060519,1.468478942769107,0.1831900979194772,0.03672989604485816,0.0071174687053710516,-0.07065708553379249,0.012398,BRAGX,full,AMERIPRISE FINANCIAL INC ORD
22,0.0001289336354674304,,0.9546811675304869,1.5071150616996634,,0.03370041518519748,,,0.012398,BRAGX,ff3,AMERIPRISE FINANCIAL INC ORD
22,0.00013203685807167446,-0.4196139557807072,1.106477171588946,1.4719935271646665,0.1957454995338584,0.058485087610199216,,,0.012398,BRAGX,ff5,AMERIPRISE FINANCIAL INC ORD
22,0.00013537036146656837,,0.9188548950862319,1.5074056044407391,,0.016711424545023557,,-0.05975137315388408,0.012398,BRAGX,carhart,AMERIPRISE FINANCIAL INC ORD
22,-0.0001908845245082047,,,1.3312123900055588,,,,,0.012398,BRAGX,capm,AMERIPRISE FINANCIAL INC ORD
23,0.0006311450209958923,0.7448076440695217,-0.495586755420101,0.48888421560404843,0.1583163562936567,-0.3498456869624501,-0.43930115476551984,0.12074644593799462,0.012392,BRAGX,full,AMERICAN TOWER CORP ORD
23,0.0006138692712582827,,-0.32769985343511077,0.31651931045116366,,-0.43404787626993224,,,0.012392,BRAGX,ff3,AMERICAN TOWER CORP ORD
23,0.0005617961266116142,0.8273378353041594,-0.6119920465194433,0.4254359986807452,0.17219372840623068,-0.43224835276161966,,,0.012392,BRAGX,ff5,AMERICAN TOWER CORP ORD
23,0.000600749260137776,,-0.25467498132647554,0.3159270957142788,,-0.3994191308238664,,0.12179152574879067,0.012392,BRAGX,carhart,AMERICAN TOWER CORP ORD
23,0.0008093242356743192,,,0.3592872050761131,,,,,0.012392,BRAGX,capm,AMERICAN TOWER CORP ORD
24,-1.9954146615390326e-05,-0.5178707704942708,1.4467962609149754,1.3549571392629134,-0.11620157330645427,0.027153464310913145,0.03119537288737622,-0.08834316493575783,0.012244,BRAGX,full,PRUDENTIAL FINANCIAL INC ORD
24,-5.7260403908583856e-05,,1.3231446892932885,1.4286041436053454,,0.05756747488030356,,,0.012244,BRAGX,ff3,PRUDENTIAL FINANCIAL INC ORD
24,-2.5714835796579032e-05,-0.504729812232192,1.496653987704896,1.3623498971657613,-0.10234782736011663,0.056714887766989325,,,0.012244,BRAGX,ff5,PRUDENTIAL FINANCIAL INC ORD
24,-5.1404007109119294e-05,,1.2905484800856908,1.4288684912844567,,0.042110195756590946,,-0.054364245200104966,0.012244,BRAGX,carhart,PRUDENTIAL FINANCIAL INC ORD
24,-0.0005027161986802505,,,1.1852637640455617,,,,,0.012244,BRAGX,capm,PRUDENTIAL FINANCIAL INC ORD
25,0.0010291082419774055,-0.2742662872966483,-0.31450506980403,0.8898789612913113,-0.19600308489090035,0.2757780810307577,-0.056608149461984336,0.36782085571123474,0.012100999999999999,BRAGX,full,VERISIGN INC ORD
25,0.001030053202598543,,-0.627562425423521,0.9280260255385365,,0.17822476442653865,,,0.012100999999999999,BRAGX,ff3,VERISIGN INC ORD
